Dierenzoeker,,,,KENMERK,lijkt op,leefgebied,seizoen,grootte,kleur,patroon,vorm,huid,ogen,spriet,bek,aantal poten,soort poten,vleugels,achterlijf,gedrag,BEGINLETTER,naam SCI,naam NL,thumbnail,illustratie soortpagina
56,Ruwe pissebed,,,Gewone oprolpissebed;zwartkoppissebed;kelderpissebed,kriebeldier,binnen;in de grond;dood blad;tegen muur;op de grond;schuilplek,winter;lente;zomer;herfst,pinda,rood;grijs;blauw;bruin,effen;gevlekt,segmenten,glad;ruw,puntjes;geen ogen,spriet lang,geen bek;mond,10+,met haakjes;lang en dun,geen,afgerond;twee draden,kruipt; loopt; schuilt;,R; P,Porcellio scaber,Ruwe pissebed,http://images.ncbnaturalis.nl/80x80/194928.jpg,http://images.ncbnaturalis.nl/280x190/195049.jpg
57,Wespspin,,,kruisspin;brugspin;platte wielwebspin;venstersectorspin,spin; kriebeldier,op plant,zomer,euro,geel;zwart;wit;bruin,gestreept,twee delen;dik;rond;segmenten,glad;met haren,geen pupil;puntjes,spriet kort;niks,twee kaken,8,met haakjes;lang en dun;behaard,geen,afgerond,kruipt; zit stil;hangt,W; S,Argiope breunnichi,Wespspin,http://images.ncbnaturalis.nl/80x80/196803.jpg,http://images.ncbnaturalis.nl/280x190/196804.jpg
58,Kruisspin,,,brugspin;platte wielwebspin;venstersectorspin,spin; kriebeldier,op plant;in struik;tegen muur,zomer;herfst,pinda;euro,rood;bruin;wit;geel;oranje,gevlekt;gestreept,twee delen;dik;rond;segmenten,glad;met haren,geen pupil;puntjes,spriet kort;niks,twee kaken,8,met haakjes;lang en dun;behaard,geen,afgerond,kruipt; zit stil;hangt,K; S,Araneus diadematus,Kruisspin,http://images.ncbnaturalis.nl/80x80/196799.jpg,http://images.ncbnaturalis.nl/280x190/196800.jpg
59,Dwergspin,,,gewone tandkaak;koffieboonspin;mosmijt;teek;pseudoschorpioen;hulstvlieg;dwarsstreepspringstaart,spin; kriebeldier,op plant;in boom;dood blad;tegen muur;op de grond;ergens op;in struik;schuilplek,winter;lente;zomer;herfst,zandkorrel;mier,zwart;bruin;wit;rood;geel,effen;gestreept;gevlekt,twee delen;segmenten,glad;met haren,geen pupil;puntjes,spriet kort;niks,twee kaken,8,met haakjes;lang en dun;behaard,geen,afgerond,kruipt; zit stil;hangt,D; S,Erigone atra,Dwergspin,http://images.ncbnaturalis.nl/80x80/194855.jpg,http://images.ncbnaturalis.nl/280x190/194976.jpg
60,Tuinwolfspin,,,gewone huisspin;schorsmarpissa;muurkaardespin,spin; kriebeldier,op plant;tegen muur;op de grond;in struik,winter;lente;zomer;herfst,pinda,zwart;bruin;grijs;wit,gestreept;gevlekt,twee delen;segmenten,met haren,geen pupil;puntjes,spriet kort;niks,twee kaken,8,met haakjes;lang en dun;behaard,geen,afgerond,kruipt,T; W; S,Pardosa amentata,Tuinwolfspin,http://images.ncbnaturalis.nl/80x80/194938.jpg,http://images.ncbnaturalis.nl/280x190/195059.jpg
61,Platte wielwebspin,,,brugspin;kruisspin;venstersectorspin;rode hooiwagen;gewone tandkaak;koffieboonspin,spin; kriebeldier,in boom;tegen muur,winter;lente;zomer;herfst,pinda;euro,rood;bruin;oranje,gevlekt;gestreept,twee delen;dik;rond;segmenten,glad;met haren,geen pupil;puntjes,spriet kort;niks,twee kaken,8,met haakjes;lang en dun;behaard,geen,afgerond,kruipt; zit stil;hangt,P; W; S,Nuctenea umbratica,Platte wielwebspin,http://images.ncbnaturalis.nl/80x80/196801.jpg,http://images.ncbnaturalis.nl/280x190/196802.jpg
62,Brugspin,,,kruisspin;platte wielwebspin;wespspin,spin; kriebeldier,tegen muur,winter;lente;zomer;herfst,pinda;euro,bruin;oranje;geel;wit,gevlekt;gestreept,twee delen;dik;rond;segmenten,glad;met haren,geen pupil;puntjes,spriet kort;niks,twee kaken,8,met haakjes;lang en dun;behaard,geen,afgerond,kruipt; zit stil;hangt,B; S,Larinioides sericatus,Brugspin,http://images.ncbnaturalis.nl/80x80/196797.jpg,http://images.ncbnaturalis.nl/280x190/196798.jpg
63,Gewone strekspin,,,grote trilspin;gewone tandkaak;voorjaarshooiwagen;strekpoot,spin; kriebeldier,op plant;in struik;water,lente;zomer;herfst,pinda;euro,zilver;bruin;geel;oranje,gevlekt;gestreept,twee delen;dun;lang;segmenten,glad;met haren,geen pupil;puntjes,spriet kort;niks,twee kaken,8,met haakjes;lang en dun;behaard,geen,afgerond,kruipt; zit stil;hangt,G; S,Tetragnatha extensa,Gewone strekspin,http://images.ncbnaturalis.nl/80x80/194871.jpg,http://images.ncbnaturalis.nl/280x190/194992.jpg
64,Grote trilspin,,,gewone strekspin;gewone tandkaak;rode hooiwagen;gewone hooiwagen,spin; kriebeldier,binnen,winter;lente;zomer;herfst,pinda;euro;huissleutel,bruin;grijs,effen;gevlekt,twee delen;dun;lang;segmenten,glad,geen pupil;puntjes,spriet kort;niks,twee kaken,8,met haakjes;lang en dun;behaard,geen,afgerond,kruipt; zit stil;hangt,G; T; S,Pholcus phalangioides,Grote trilspin,http://images.ncbnaturalis.nl/80x80/194878.jpg,http://images.ncbnaturalis.nl/280x190/194999.jpg
65,zebraspringspin,,,wespspin;schorsmarpissa;koolwants,spin; kriebeldier,tegen muur;in boom,lente;zomer,pinda,zwart;wit;bruin,gevlekt;gestreept,twee delen;segmenten,met haren,geen pupil;puntjes,spriet kort;niks,twee kaken,8,met haakjes;behaard,geen,afgerond,kruipt;loopt;springt,G; Z; S,Salticus scenicus,zebraspringspin,http://images.ncbnaturalis.nl/80x80/194886.jpg,http://images.ncbnaturalis.nl/280x190/195007.jpg
66,Schorsmarpissa,,,zebraspringspin;muurkaardespin;labyrintspin,spin; kriebeldier,binnen;tegen muur;in boom,winter;lente;zomer;herfst,pinda,bruin;zwart,gevlekt;gestreept,twee delen;segmenten,met haren,geen pupil;puntjes,spriet kort;niks,twee kaken,8,met haakjes;behaard,geen,afgerond,kruipt;loopt;springt,S; M,Marpissa muscaso,Schorsmarpissa,http://images.ncbnaturalis.nl/80x80/194930.jpg,http://images.ncbnaturalis.nl/280x190/195051.jpg
67,Gewone tandkaak,,,grote trilspin;venstersectorspin;gewone strekspin;voorjaarshooiwagen;koffieboonspin,spin; kriebeldier,op plant;in struik,lente;zomer,pinda,wit;roze;rood;geel,effen;gestreept;gevlekt,twee delen;segmenten,glad;met haren,geen pupil;puntjes,spriet kort;niks,twee kaken,8,met haakjes;lang en dun;behaard,geen,afgerond,kruipt; zit stil,G; T,Enoplognatha ovata,Gewone tandkaak,http://images.ncbnaturalis.nl/80x80/194872.jpg,http://images.ncbnaturalis.nl/280x190/194993.jpg
68,Muurkaardespin,,,gewone huisspin;schorsmarpissa;Tuinwolfspin;labyrintspin,spin; kriebeldier,binnen;tegen muur;op de grond,winter;lente;zomer;herfst,pinda;euro,bruin;zwart,gevlekt,twee delen;segmenten,met haren,geen pupil;puntjes,spriet kort;niks,twee kaken,8,met haakjes;lang en dun;behaard,geen,afgerond,kruipt; loopt,M; K; S,Amaurobius similis,Muurkaardespin,http://images.ncbnaturalis.nl/80x80/194914.jpg,http://images.ncbnaturalis.nl/280x190/195035.jpg
69,Gewone huisspin,,,muurkaardespin;schorsmarpissa;Tuinwolfspin;labyrintspin,spin; kriebeldier,binnen;tegen muur;op de grond,winter;lente;zomer;herfst,euro;huissleutel,bruin,gevlekt;gestreept,twee delen;segmenten,met haren,geen pupil;puntjes,spriet kort;niks,twee kaken,8,met haakjes;lang en dun;behaard,geen,afgerond,kruipt; loopt,G; H; S,Tegenaria atrica,Gewone huisspin,http://images.ncbnaturalis.nl/80x80/194865.jpg,http://images.ncbnaturalis.nl/280x190/194986.jpg
70,Venstersectorspin,,,brugspin;kruisspin;platte wielwebspin;rode hooiwagen,spin; kriebeldier,in boom;tegen muur,lente;zomer;herfst,pinda;euro,wit;rood;bruin;zwart,gevlekt;gestreept,twee delen;segmenten,glad;met haren,geen pupil;puntjes,spriet kort;niks,twee kaken,8,met haakjes;lang en dun;behaard,geen,afgerond,kruipt; zit stil;hangt,V; S,Zygiella x notata,Venstersectorspin,http://images.ncbnaturalis.nl/80x80/194940.jpg,http://images.ncbnaturalis.nl/280x190/195061.jpg
71,Koffieboonspin,,,gewone tandkaak;dwergspin;mosmijt;platte wielwebspin,spin; kriebeldier,binnen;tegen muur;op de grond,lente;zomer;herfst,mier;pinda,bruin; zwart; wit; oranje; rood,effen; gevlekt,twee delen;segmenten; dik; rond; bolletje,glad;met haren;glanzend,geen pupil;puntjes,spriet kort;niks,twee kaken,8,met haakjes;lang en dun;behaard,geen,afgerond,kruipt; loopt,K; S,Steatoda bipunctata,Koffieboonspin,http://images.ncbnaturalis.nl/80x80/194899.jpg,http://images.ncbnaturalis.nl/280x190/195020.jpg
72,Labyrintspin,,,muurkaardespin;schorsmarpissa;Tuinwolfspin;gewone huisspin,spin; kriebeldier,op plant;in struik,lente;zomer;herfst,pinda;euro,bruin,effen; gevlekt;gestreept,twee delen;segmenten,met haren,geen pupil;puntjes,spriet kort;niks,twee kaken,8,met haakjes;lang en dun;behaard,geen,twee draden,kruipt; loopt; zit stil,L; S,Agelena labyrinthica,Labyrintspin,http://images.ncbnaturalis.nl/80x80/194904.jpg,http://images.ncbnaturalis.nl/280x190/195025.jpg
73,Meidoornboorvlieg,,,schorsmarpissa;hulstvlieg;fruitvlieg,vlieg; kriebeldier,op plant;op bloem; in struik,zomer,pinda,zwart; groen,effen,segmenten; twee delen; drie delen;driehoekig,naakt,insectenoog,spriet kort,tong,6,lang en dun; met haakjes,gevlekt; doorzichtig,afgerond; puntig,zit stil; vliegt; loopt,M; B; V,Anomoia purmunda,Meidoornboorvlieg,http://images.ncbnaturalis.nl/80x80/194843.jpg,http://images.ncbnaturalis.nl/280x190/194964.jpg
74,Roodwangbromvlieg,,,keizersvlieg;huisvlieg;dambordvlieg,vlieg; kriebeldier,op plant;op bloem;in struik;tegen muur,zomer,euro,blauw; rood; grijs,effen,segmenten; twee delen; drie delen,met haren,insectenoog,spriet kort,tong,6,lang en dun; behaard; met haakjes,doorzichtig,afgerond,zit stil; vliegt; loopt; geluid,R; B; V,Calliphora vicina,Roodwangbromvlieg,http://images.ncbnaturalis.nl/80x80/194927.jpg,http://images.ncbnaturalis.nl/280x190/195048.jpg
75,Grote dansvlieg,,,maartse vlieg;langpootmug;ringpootroofvlieg;snavelvlieg;Ringpootmuskiet;Tijgermug,vlieg; kriebeldier,op plant;op bloem; in struik; in de lucht,lente; zomer,euro,zwart; bruin,effen,segmenten; twee delen; drie delen; lang;dun,naakt; met haren,insectenoog,spriet kort,steeksnuit,6,lang en dun; behaard; met haakjes,gevlekt; doorzichtig,afgerond,zit stil; vliegt; loopt,G; D; V,Empis tessellata,Grote dansvlieg,http://images.ncbnaturalis.nl/80x80/194852.jpg,http://images.ncbnaturalis.nl/280x190/194973.jpg
76,Gewone goudoogdaas,,,gewone regendaas,vlieg; kriebeldier,op plant;op bloem; in struik; in de lucht,zomer,euro,zwart; wit; geel; groen,gevlekt,segmenten; twee delen; drie delen;driehoekig,naakt; met haren,insectenoog,spriet lang,steeksnuit,6,lang en dun; met haakjes,gevlekt; doorzichtig,afgerond,zit stil; vliegt; loopt; geluid,G; D,Chrysops relictus,Gewone goudoogdaas,http://images.ncbnaturalis.nl/80x80/194864.jpg,http://images.ncbnaturalis.nl/280x190/194985.jpg
77,Gewone regendaas,,,gewone goudoogdaas,vlieg; kriebeldier,op plant;op bloem; in struik; in de lucht,zomer,euro,grijs; wit; zwart; bruin,gevlekt,segmenten; twee delen; drie delen,naakt; met haren,insectenoog,spriet lang,steeksnuit,6,lang en dun; met haakjes,gevlekt,afgerond,zit stil; vliegt; loopt; geluid,G; R; D,Haematopota pluvialis,Gewone regendaas,http://images.ncbnaturalis.nl/80x80/194869.jpg,http://images.ncbnaturalis.nl/280x190/194990.jpg
78,Gewone snuitvlieg,,,drekvlieg;blaaskopvlieg,vlieg; kriebeldier,op plant;op bloem; in struik; in de lucht,lente; zomer,pinda,zwart; rood; oranje; grijs,effen;gevlekt,segmenten; twee delen; drie delen,naakt; met haren,insectenoog,spriet kort,tong; snuit,6,lang en dun; met haakjes,doorzichtig,afgerond,zit stil; vliegt; loopt,G; S; V,Rhingia campestris,Gewone snuitvlieg,http://images.ncbnaturalis.nl/80x80/194870.jpg,http://images.ncbnaturalis.nl/280x190/194991.jpg
79,Langpootmug,,,ringpootroofvlieg;snavelvlieg;Grote dansvlieg;maartse vlieg;Ringpootmuskiet;Tijgermug,vlieg; kriebeldier,op plant;op bloem; in struik;tegen muur,zomer; herfst,huissleutel,bruin; geel,gevlekt,segmenten; twee delen; drie delen; lang;dun,naakt,insectenoog,spriet lang,tong; snuit,6,lang en dun; met haakjes,doorzichtig,afgerond; puntig,zit stil; vliegt; loopt,L; P; M,Tipula sp,Langpootmug,http://images.ncbnaturalis.nl/80x80/194905.jpg,http://images.ncbnaturalis.nl/280x190/195026.jpg
80,Keizersvlieg,,,roodwangbromvlieg;huisvlieg;dambordvlieg;wapenvlieg,vlieg; kriebeldier,op plant;op bloem; in struik; in de lucht,zomer; herfst,euro,groen; zwart,effen,segmenten; twee delen; drie delen,met haren;glanzend,insectenoog,spriet kort,tong,6,lang en dun; behaard; met haakjes,doorzichtig,afgerond,zit stil; vliegt; loopt; geluid,V,Lucilia caesar,Keizersvlieg,http://images.ncbnaturalis.nl/80x80/194952.jpg,http://images.ncbnaturalis.nl/280x190/195063.jpg
81,Fruitvlieg,,,meidoornboorvlieg;hulstvlieg;dwergspin,vlieg; kriebeldier,binnen,zomer; herfst,zandkorrel,bruin; rood,effen;gevlekt,segmenten; twee delen; drie delen; bolletje,naakt,insectenoog,spriet kort,tong,6,lang en dun; met haakjes,doorzichtig,afgerond,zit stil; vliegt; loopt,F; V,Drosophila funebris,Fruitvlieg,http://images.ncbnaturalis.nl/80x80/194858.jpg,http://images.ncbnaturalis.nl/280x190/194979.jpg
82,Maartse vlieg,,,Grote dansvlieg;langpootmug;ringpootroofvlieg;snavelvlieg;Ringpootmuskiet;Tijgermug,vlieg; kriebeldier,op plant;op bloem; in struik; in de lucht,lente,euro,zwart,effen,segmenten; twee delen; drie delen; lang;dun,met haren,insectenoog,spriet kort,tong,6,lang en dun; behaard; met haakjes,doorzichtig,afgerond; puntig,zit stil; vliegt; loopt,M; V,Bibio marci,Maartse vlieg,http://images.ncbnaturalis.nl/80x80/194908.jpg,http://images.ncbnaturalis.nl/280x190/195029.jpg
83,Wc-motmugje,,,fruitvlieg;hulstvlieg;muntvlinder,vlieg; kriebeldier,binnen,lente; zomer; herfst,mier,zwart; bruin; wit,gevlekt,segmenten; twee delen; drie delen; bolletje;driehoekig,met haren,insectenoog,spriet kort,tong,6,lang en dun; met haakjes,doorzichtig; gekleurd,afgerond,zit stil; vliegt; loopt,M; W,Clogmia,Wc-motmugje,http://images.ncbnaturalis.nl/80x80/194912.jpg,http://images.ncbnaturalis.nl/280x190/195033.jpg
84,Huisvlieg,,,roodwangbromvlieg;keizersvlieg;dambordvlieg,vlieg; kriebeldier,binnen,zomer; herfst,euro,zwart; bruin; grijs,gevlekt,segmenten; twee delen; drie delen,met haren,insectenoog,spriet kort,tong,6,lang en dun; behaard; met haakjes,doorzichtig,afgerond,zit stil; vliegt; loopt; geluid,H; V,Musca domestica,Huisvlieg,http://images.ncbnaturalis.nl/80x80/194885.jpg,http://images.ncbnaturalis.nl/280x190/195006.jpg
85,Snavelvlieg,,,langpootmug;ringpootroofvlieg;Grote dansvlieg;Ringpootmuskiet;Tijgermug,vlieg; kriebeldier,op plant;op bloem; in struik; in de lucht,zomer,euro,grijs; zwart; geel; bruin,gevlekt,segmenten; twee delen; drie delen; lang;dun,naakt; met haren,insectenoog,spriet kort,tong; snuit,6,lang en dun; behaard; met haakjes,gevlekt; doorzichtig,afgerond; puntig,zit stil; vliegt; loopt,S; V,Rhagio scolopaceus,Snavelvlieg,http://images.ncbnaturalis.nl/80x80/194932.jpg,http://images.ncbnaturalis.nl/280x190/195053.jpg
86,Dambordvlieg,,,roodwangbromvlieg;keizersvlieg;huisvlieg,vlieg; kriebeldier,op plant;op bloem;in struik;tegen muur,lente; zomer; herfst,euro,zwart; grijs; rood,gevlekt;geblokt;gestreept,segmenten; twee delen; drie delen,met haren,insectenoog,spriet kort,tong,6,lang en dun; behaard; met haakjes,doorzichtig,afgerond,zit stil; vliegt; loopt; geluid,D; V,Sarcophaga carnaria,Dambordvlieg,http://images.ncbnaturalis.nl/80x80/194851.jpg,http://images.ncbnaturalis.nl/280x190/194972.jpg
87,Drekvlieg,,,blaaskopvlieg;snuitzweefvlieg,vlieg; kriebeldier,op plant;op bloem;in struik;in de lucht,zomer,euro,oranje,effen,segmenten; twee delen; drie delen,met haren,insectenoog,spriet kort,tong,6,lang en dun; behaard; met haakjes,doorzichtig,afgerond,zit stil; vliegt; loopt,D; V,Scatophaga stercoraria,Drekvlieg,http://images.ncbnaturalis.nl/80x80/194854.jpg,http://images.ncbnaturalis.nl/280x190/194975.jpg
88,Blaaskopvlieg,,,drekvlieg;gewone snuitvlieg,vlieg; kriebeldier,op plant;op bloem;in struik;in de lucht,lente; zomer,euro,bruin; rood; zwart,gevlekt,segmenten; twee delen; drie delen,naakt,insectenoog,spriet kort,tong,6,lang en dun; met haakjes,doorzichtig,afgerond,zit stil; vliegt; loopt,B; V,Sicus ferrugineus,Blaaskopvlieg,http://images.ncbnaturalis.nl/80x80/194837.jpg,http://images.ncbnaturalis.nl/280x190/194958.jpg
89,Ringpootroofvlieg,,,langpootmug;snavelvlieg;Grote dansvlieg;Ringpootmuskiet;Tijgermug,vlieg; kriebeldier,op plant; in struik; op de grond; in de lucht,zomer,euro,grijs; zwart; oranje,effen,segmenten; twee delen; drie delen; lang;dun,met haren,insectenoog,spriet kort,steeksnuit,6,lang en dun; behaard; met haakjes,doorzichtig,afgerond; puntig,zit stil; vliegt; loopt,R; V,Machimus cingulatus,Ringpootroofvlieg,http://images.ncbnaturalis.nl/80x80/194924.jpg,http://images.ncbnaturalis.nl/280x190/195045.jpg
90,Ringpootmuskiet,,,Tijgermug;langpootmug;ringpootroofvlieg;Grote dansvlieg,vlieg; kriebeldier,binnen,zomer,"mier, pinda",bruin; grijs; wit,gestreept,segmenten; twee delen; drie delen; lang;dun,met haren,insectenoog,spriet lang,steeksnuit,6,lang en dun; met haakjes,gevlekt; doorzichtig,afgerond; puntig,zit stil; vliegt; loopt; geluid,R; M,Culiseta annulata,Ringpootmuskiet,http://images.ncbnaturalis.nl/80x80/194935.jpg,http://images.ncbnaturalis.nl/280x190/195056.jpg
91,Hulstvlieg,,,fruitvlieg;meidoornboorvlieg,vlieg; kriebeldier,op plant; in struik,lente; zomer; herfst; winter,zandkorrel,zwart,effen;gevlekt,segmenten; twee delen; drie delen; bolletje,naakt,insectenoog,spriet kort,tong,6,lang en dun; met haakjes,doorzichtig,afgerond,zit stil; vliegt; loopt,H; V,Phytomyza agromyzidae,Hulstvlieg,http://images.ncbnaturalis.nl/80x80/194887.jpg,http://images.ncbnaturalis.nl/280x190/195008.jpg
92,Tijgermug,,,Ringpootmuskiet;langpootmug;ringpootroofvlieg;Grote dansvlieg,vlieg; kriebeldier,binnen,zomer,"mier, pinda",zwart; wit,gestreept,segmenten; twee delen; drie delen; lang;dun,met haren,insectenoog,spriet lang,steeksnuit,6,lang en dun; met haakjes,gevlekt; doorzichtig,afgerond; puntig,zit stil; vliegt; loopt; geluid,S; A,Aedes albopictus,Tijgermug,http://images.ncbnaturalis.nl/80x80/194936.jpg,http://images.ncbnaturalis.nl/280x190/195057.jpg
93,Wapenvlieg,,,keizersvlieg,vlieg; kriebeldier,op plant;op bloem; in struik,lente; zomer,mier,groen; bruin; geel,effen,segmenten; twee delen; drie delen,naakt;glanzend,insectenoog,spriet kort,tong,6,lang en dun; met haakjes,doorzichtig,afgerond,zit stil; vliegt; loopt,W; V,Microchrysa polita,Wapenvlieg,http://images.ncbnaturalis.nl/80x80/194942.jpg,http://images.ncbnaturalis.nl/280x190/195064.jpg
94,Kleine vos,,,dagpauwoog;kleine vuurvlinder;gehakkelde aurelia;distelvlinder;huismoeder;muntvlinder,vlinder; kriebeldier,op bloem;op de grond;in struik;in de lucht,lente;zomer;herfst,huissleutel,oranje; zwart; geel; blauw; wit,gevlekt; gestreept,segmenten; twee delen; drie delen,met haren; schubben,insectenoog,spriet lang,tong,4,lang en dun; met haakjes,als vlinder; gekleurd; gevlekt,afgerond,vliegt; zit stil,K; V,Aglais urticae,Kleine vos,http://images.ncbnaturalis.nl/80x80/194897.jpg,http://images.ncbnaturalis.nl/280x190/195018.jpg
95,Boomblauwtje,,,icarusblauwtje;kleine vuurvlinder,vlinder; kriebeldier,op bloem;in boom;in struik;in de lucht,lente;zomer,euro,blauw; zwart; wit,effen;gevlekt;gestipt,segmenten; twee delen; drie delen,met haren; schubben,insectenoog,spriet lang,tong,6,lang en dun; met haakjes,als vlinder; gekleurd; gevlekt,afgerond,vliegt; zit stil,B,Celastrina argiolus,Boomblauwtje,http://images.ncbnaturalis.nl/80x80/194841.jpg,http://images.ncbnaturalis.nl/280x190/194962.jpg
96,Icarusblauwtje,,,boomblauwtje;kleine vuurvlinder,vlinder; kriebeldier,op bloem;op plant;in de lucht,lente;zomer,euro,blauw; zwart; wit,effen;gevlekt;gestipt,segmenten; twee delen; drie delen,met haren; schubben,insectenoog,spriet lang,tong,6,lang en dun; met haakjes,als vlinder; gekleurd; gevlekt,afgerond,vliegt; zit stil,I,Polommatus icarus,Icarusblauwtje,http://images.ncbnaturalis.nl/80x80/194888.jpg,http://images.ncbnaturalis.nl/280x190/195009.jpg
97,Dagpauwoog,,,gehakkelde aurelia;distelvlinder;huismoeder;sint-jacobsvlinder,vlinder; kriebeldier,binnen;op bloem;op de grond;in struik;in de lucht,winter;lente;zomer;herfst,huissleutel,rood; paars; zwart; geel; wit,gevlekt,segmenten; twee delen; drie delen,met haren; schubben,insectenoog,spriet lang,tong,4,lang en dun; met haakjes,als vlinder; gekleurd; gevlekt,afgerond,vliegt; zit stil,D; P; O,Inachis io,Dagpauwoog,http://images.ncbnaturalis.nl/80x80/194850.jpg,http://images.ncbnaturalis.nl/280x190/194971.jpg
98,Kleine vuurvlinder,,,zwartsprietdikkopje;muntvlinder;sint-jacobsvlinder;icarusblauwtje,vlinder; kriebeldier,op bloem;op plant;op de grond;in de lucht,lente;zomer;herfst,euro,rood; oranje; zwart; bruin,gevlekt; effen,segmenten; twee delen; drie delen,met haren; schubben,insectenoog,spriet lang,tong,6,lang en dun; met haakjes,als vlinder; gekleurd; gevlekt,afgerond,vliegt; zit stil,K; V,Lycaena phlaeas,Kleine vuurvlinder,http://images.ncbnaturalis.nl/80x80/194894.jpg,http://images.ncbnaturalis.nl/280x190/195015.jpg
99,Bruin zandoogje,,,bont zandoogje;kleine vos;gamma-uil;bruine snuituil;,vlinder; kriebeldier,op bloem;op plant;in de lucht,zomer,huissleutel,bruin; oranje; zwart; wit,effen; gevlekt,segmenten; twee delen; drie delen,met haren; schubben,insectenoog,spriet lang,tong,4,lang en dun; met haakjes,als vlinder; gekleurd; gevlekt,afgerond,vliegt; zit stil,B; Z; O,Maniola jurtina,Bruin zandoogje,http://images.ncbnaturalis.nl/80x80/194846.jpg,http://images.ncbnaturalis.nl/280x190/194967.jpg
100,Zwartsprietdikkopje,,,kleine vuurvlinder;gehakkelde aurelia;hagedoornvlinder,vlinder; kriebeldier,op bloem;op plant;in de lucht,zomer,euro,oranje; bruin; geel; zwart,effen,segmenten; twee delen; drie delen; driehoekig,met haren; schubben,insectenoog,spriet lang,tong,6,lang en dun; met haakjes,als vlinder; gekleurd,afgerond,vliegt; zit stil,Z; D,Thymelicus lineola,Zwartsprietdikkopje,http://images.ncbnaturalis.nl/80x80/194951.jpg,http://images.ncbnaturalis.nl/280x190/195073.jpg
101,Bont zandoogje,,,bruin zandoogje;gehakkelde aurelia;bruine snuituil,vlinder; kriebeldier,in struik;op bloem;op plant,lente;zomer;herfst,euro;huissleutel,bruin; geel; oranje; zwart,gevlekt,segmenten; twee delen; drie delen,met haren; schubben,insectenoog,spriet lang,tong,4,lang en dun; met haakjes,als vlinder; gekleurd; gevlekt,afgerond,vliegt; zit stil,B; Z; O,Pararge aegeria,Bont zandoogje,http://images.ncbnaturalis.nl/80x80/194840.jpg,http://images.ncbnaturalis.nl/280x190/194961.jpg
102,Groot koolwitje,,,klein geaderd witje;klein koolwitje;oranjetipje;Bonte brandnetelroller;witte tijger;lieveling,vlinder; kriebeldier,op plant;op bloem;in struik;in de lucht,lente;zomer;herfst,huissleutel,wit; zwart,effen; gevlekt,segmenten; twee delen; drie delen,met haren; schubben,insectenoog,spriet lang,tong,6,lang en dun; met haakjes,als vlinder; gekleurd; gevlekt,afgerond,vliegt; zit stil,G; K; W,Pieris brassicae,Groot koolwitje,http://images.ncbnaturalis.nl/80x80/194876.jpg,http://images.ncbnaturalis.nl/280x190/194997.jpg
103,Klein geaderd witje,,,groot koolwitje;klein koolwitje;oranjetipje;Bonte brandnetelroller;witte tijger;lieveling,vlinder; kriebeldier,op plant;op bloem;in struik;in de lucht,lente;zomer;herfst,huissleutel,wit; zwart; geel,effen; gestreept; gevlekt,segmenten; twee delen; drie delen,met haren; schubben,insectenoog,spriet lang,tong,6,lang en dun; met haakjes,als vlinder; gekleurd; gevlekt,afgerond,vliegt; zit stil,K; G; W,Pieris napi,Klein geaderd witje,http://images.ncbnaturalis.nl/80x80/194891.jpg,http://images.ncbnaturalis.nl/280x190/195012.jpg
104,Klein koolwitje,,,klein geaderd witje;groot koolwitje;oranjetipje;bonte bessenvlinder;kleine zomervlinder;lieveling;hagedoornvlinder,vlinder; kriebeldier,op plant;op bloem;in struik;in de lucht,lente;zomer;herfst,huissleutel,wit; zwart,effen; gevlekt,segmenten; twee delen; drie delen,met haren; schubben,insectenoog,spriet lang,tong,6,lang en dun; met haakjes,als vlinder; gekleurd; gevlekt,afgerond,vliegt; zit stil,K; W,Pieris rapae,Klein koolwitje,http://images.ncbnaturalis.nl/80x80/194892.jpg,http://images.ncbnaturalis.nl/280x190/195013.jpg
105,Oranjetipje,,,klein geaderd witje;klein koolwitje;oranjetipje;witte tijger;lieveling,vlinder; kriebeldier,op plant;op bloem,lente,huissleutel,wit; oranje; groen; grijs,effen; gevlekt,segmenten; twee delen; drie delen,met haren; schubben,insectenoog,spriet lang,tong,6,lang en dun; met haakjes,als vlinder; gekleurd; gevlekt,afgerond,vliegt; zit stil,O; T,Anthocharis cardamines,Oranjetipje,http://images.ncbnaturalis.nl/80x80/194916.jpg,http://images.ncbnaturalis.nl/280x190/195037.jpg
106,Gehakkelde aurelia,,,dagpauwoog;kleine vuurvlinder;kleine vos;distelvlinder;huismoeder;muntvlinder,vlinder; kriebeldier,op bloem;op de grond;in struik; op plant; in de lucht,lente;zomer;herfst,huissleutel,oranje; bruin; groen,gevlekt,segmenten; twee delen; drie delen,met haren; schubben,insectenoog,spriet lang,tong,4,lang en dun; met haakjes,als vlinder; gekleurd; gevlekt,afgerond,vliegt; zit stil,G; A,Polygonia c-album,Gehakkelde aurelia,http://images.ncbnaturalis.nl/80x80/194862.jpg,http://images.ncbnaturalis.nl/280x190/194983.jpg
